i,timestamp,t_time,collisions,base_t_time,satellite,sat_r_time
2,6578.255229627491,6597,0,6598,9,6598.761251968453
3,6469.848745893625,6615,4,6616,9,6616.761559387577
3,6493.739454989201,6624,0,6625,9,6625.761713134232
0,6627.345706762201,6628,0,6629,9,6629.761781474011
2,6617.473536592851,6632,0,6633,9,6633.7618498186675
1,6633.966048294655,6634,0,6635,9,6635.7618839928255
3,6507.028434469673,6636,0,6637,9,6637.761918168202
3,6531.578310882534,6650,0,6651,9,6651.762157429964
0,6642.326635894808,6652,0,6653,9,6653.762191615087
3,6545.864915645686,6655,0,6656,9,6656.762242895056
4,6650.883804669996,6665,0,6666,9,6666.762413848065
5,6663.517348481613,6670,0,6671,9,6671.762499335974
2,6667.282738416911,6671,0,6672,9,6672.762516434468
0,6672.746407287143,6674,0,6675,9,6675.762567731774
3,6625.744329305908,6682,1,6683,9,6683.7627045379595
1,6648.843096556672,6684,1,6685,9,6685.762738742544
5,6665.24579431439,6685,0,6686,9,6686.762755845291
1,6657.464306870211,6694,0,6695,9,6695.762909783682
1,6685.859184994839,6695,0,6696,9,6696.762926889465
3,6701.411028366144,6710,0,6711,9,6711.763183512613
0,6714.080331612846,6719,0,6720,9,6720.763337519242
1,6718.490434112915,6728,0,6729,9,6729.763491550406
4,6717.522469929315,6731,0,6732,9,6732.763542899577
4,6728.94266545238,6742,0,6743,9,6743.763731203168
3,6737.3979325852415,6744,0,6745,9,6745.763765444117
0,6744.483119115552,6747,0,6748,9,6748.763816807807
3,6745.871374138002,6749,0,6750,9,6750.76385105178
5,6737.480967907933,6752,0,6753,9,6753.763902420004
4,6728.9767907075475,6762,1,6763,9,6763.764073667056
4,6738.525573333814,6767,0,6768,9,6768.764159301907
3,6759.713784911242,6770,0,6771,9,6771.7642106864405
3,6770.161777992566,6773,0,6774,9,6774.764262073689
5,6771.1266499706535,6774,0,6775,9,6775.764279203375
4,6745.523348698681,6784,1,6785,9,6785.764450516827
3,6776.91596841688,6787,0,6788,9,6788.764501916742
1,6779.96096951399,6788,0,6789,9,6789.76451905065
2,6784.40241190603,6797,1,6798,9,6798.76467326938
1,6792.298228027575,6800,0,6801,9,6801.764724681046
4,6763.527129328058,6803,1,6804,9,6804.764776095421
4,6781.418031190899,6805,0,6806,9,6806.764810373176
1,6807.385894806874,6811,0,6812,9,6812.764913213667
0,6747.759095814082,6815,2,6816,9,6816.76498178001
0,6791.439411544107,6822,0,6823,9,6823.765101782691
1,6820.483660463162,6829,0,6830,9,6830.765221800103
4,6818.376372404892,6830,0,6831,9,6831.765238946649
5,6826.310226318841,6834,0,6835,9,6835.76530753584
1,6821.9819581703305,6835,0,6836,9,6836.765324683888
5,6830.355922627,6837,0,6838,9,6838.765358980887
1,6829.028173172801,6848,0,6849,9,6849.765547635842
0,6839.084667102759,6855,0,6856,9,6856.765667707901
0,6842.462400221487,6862,0,6863,9,6863.765787794655
5,6849.162682779421,6865,0,6866,9,6866.765839264903
1,6858.68599548143,6871,0,6872,9,6872.765942213489
0,6865.177684158838,6880,0,6881,9,6881.766096656587
2,6877.512891216017,6884,0,6885,9,6885.766165305748
1,6863.126959295546,6887,0,6888,9,6888.766216795761
3,6881.189782449612,6888,0,6889,9,6889.766233959696
0,6895.348174367846,6903,0,6904,9,6904.766491454625
5,6901.428837271175,6907,0,6908,9,6908.766560131298
2,6910.374357599604,6911,0,6912,9,6912.766628812751
5,6914.77886947094,6919,0,6920,9,6920.766766189992
3,6905.038944407702,6920,1,6921,9,6921.7667833634905
4,6917.633239721429,6921,0,6922,9,6922.766800537288
3,6907.421299172543,6925,0,6926,9,6926.76686923546
3,6910.738742628746,6926,0,6927,9,6927.766886410749
2,6914.478028480485,6927,0,6928,9,6928.766903586336
2,6942.3587348110095,6950,0,6951,9,6951.7672987071355
4,6949.953738069281,6952,0,6953,9,6953.767333072915
4,6950.969976385749,6963,0,6964,9,6964.767522105987
5,6939.2134679944475,6964,1,6965,9,6965.767539292598
4,6955.234155062651,6966,0,6967,9,6967.767573666711
5,6950.635379442696,6967,0,6968,9,6968.767590854213
1,6904.736955747839,6973,2,6974,9,6974.767693985476
3,6966.114108327469,6977,0,6978,9,6978.767762745597
1,6928.051524814536,6982,0,6983,9,6983.767848702436
1,6936.669540314391,6985,0,6986,9,6986.767900280105
3,6985.927790495402,6989,0,6990,9,6990.767969054488
3,6986.770631290183,6990,0,6991,9,6991.767986248827
1,6965.927760318196,6992,0,6993,9,6993.768020638395
0,6989.178532262523,6993,0,6994,9,6994.768037833624
0,6994.831161069629,6999,0,7000,9,7000.768141011232
4,6997.421320733688,7011,0,7012,9,7012.768347398492
4,7003.558542189226,7022,0,7023,9,7023.768536624319
3,7011.756837829386,7023,0,7024,9,7024.768553828444
4,7023.166966111414,7026,0,7027,9,7027.7686054425985
2,7014.16322091675,7030,0,7031,9,7031.768674265617
5,7030.641837330694,7036,0,7037,9,7037.768777509026
4,7029.147697098491,7039,0,7040,9,7040.768829134727
2,7015.238448482695,7046,0,7047,9,7047.768949605048
2,7042.283120602883,7049,0,7050,9,7050.769001239622
